orgId,title,description,version,host,basePath,schemes,tags,summary
3450,서울시 권역별 실시간 대기환경 현황,"대기 환경지수, 미세먼지, 오존, 이산화질소, 일산화탄소, 아황산가스 등의 권역별 실시간 대기환경정보를 제공합니다.",2.0,openAPI.seoul.go.kr:8088,,http,서울시 실시간 대기 현황,서울시 권역별 실시간 대기환경 현황
3452,공공자전거 이용현황,"서울특별시 공공자전거 실시간 대여정보입니다. 대여소별 실시간 자전거 대여가능 건수, 거치율, 대여소 위치정보를 제공합니다. 호출시 시스템 부하로 한번에 최대 1,000건를 초과할수 없습니다. 2회 나누어 호출하시기 바랍니다. 예) 1/1,000, 1001/2,000 (대여소 수 : '18.11월말기준 1,471개소) - 요청인자 : 요청타입(JSON만가능), 서비스명, 시작위치, 종료위치 - 출력값 : 거치대개수, 대여소이름, 자전거주차총건수, 거치율, 위도, 경도, 대여소ID",2.0,openapi.seoul.go.kr:8088,,http,서울시 공공자전거 실시간 대여,서울시 공공자전거 실시간 대여정보
3459,대기오염정보,대기오염 정보 조회,2.0,api.hyphen.im,,https,대기질 예보 조회,대기질 예보통보 조회
3462,대기오염정보,대기오염 정보 조회,2.0,api.hyphen.im,,https,,초미세먼지 주간예보 조회
3465,대기오염정보,대기오염 정보 조회,2.0,api.hyphen.im,,https,,측정소별 실시간 측정정보 조회
3468,대기오염정보,대기오염 정보 조회,2.0,api.hyphen.im,,https,,통합대기환경지수 나쁨 이상 측정소 목록조회
3471,대기오염정보,대기오염 정보 조회,2.0,api.hyphen.im,,https,,시도별 실시간 측정정보 조회
3474,교통예측정보,교통예측정보 조회,1.0,api.hyphen.im,,https,교통 예측 조회 국가교통정보센터,교통예측정보 조회_국가교통정보센터
3477,고속도로/국도 CCTV 영상 조회,고속도로와 국도의 CCTV 영상을 조회할 수 있는 상품입니다.,1.0,api.hyphen.im,,https,고속도로 국도 CCTV 영상 조회,고속도로/국도 CCTV 영상 조회
3480,고속도로/국도 CCTV 영상 조회,고속도로와 국도의 CCTV 영상을 조회할 수 있는 상품입니다.,1.0,api.hyphen.im,,https,회원가입 국가교통정보센터,회원가입_국가교통정보센터
3483,고속도로/국도 CCTV 영상 조회,고속도로와 국도의 CCTV 영상을 조회할 수 있는 상품입니다.,1.0,api.hyphen.im,,https,인증키 발급 신청,인증키 발급신청
3486,고속도로/국도 CCTV 영상 조회,고속도로와 국도의 CCTV 영상을 조회할 수 있는 상품입니다.,1.0,api.hyphen.im,,https,인증키 발급 현황 조회,인증키 발급현황 조회
3933,잔액조회_하이픈펌뱅킹,잔액조회,2.0,api.hyphen.im,,https,잔액조회_하이픈펌뱅킹,잔액조회_하이픈펌뱅킹
3935,송금_하이픈펌뱅킹,송금,2.0,api.hyphen.im,,https,송금_하이픈펌뱅킹,송금_하이픈펌뱅킹
3938,송금 테스트용_하이픈펌뱅킹,송금 테스트용,2.0,api.hyphen.im,,https,송금 테스트용_하이픈펌뱅킹,송금 테스트용_하이픈펌뱅킹
3941,이체결과조회_하이픈펌뱅킹,이체결과조회,2.0,api.hyphen.im,,https,이체결과조회_하이픈펌뱅킹,이체결과조회_하이픈펌뱅킹
3944,내가 먹는 약 조회_건강보험심사평가원,내가 먹는 약 조회,2.0,api.hyphen.im,,https,내가 먹는 약 조회_건강보험심사평가원,내가 먹는 약 조회_건강보험심사평가원
